ID_ES,COD_CATALOGO_ES,NOMBRE_ES,CATEGORIA_ES,CLASE_ES,TIPO_ES,ESTADO,FGDA,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,FECHA_INSTALACION,FECHA_SUSPENSION
2348,26110440,PENAS LAS ,PM,MET,CON,ACT,CVC,VALLE DEL CAUCA,TORO,4.6333333,-76.1000000,15/06/1971,
2349,26110450,DESPENSA LA ,PM,MET,CON,ACT,CVC,VALLE DEL CAUCA,LA UNIÓN,4.5166667,-76.1500000,15/01/1975,
2350,26110460,PATIO BONITO ,PM,MET,CON,ACT,CVC,VALLE DEL CAUCA,TORO,4.5833333,-76.1500000,15/01/1975,
2351,26115010,NILO EL ,CO,MET,CON,ACT,PARTIC,VALLE DEL CAUCA,TORO,4.6166667,-76.0333330,15/04/1992,
2352,26115020,SABANAZO ,ME,MET,CON,ACT,CVC,VALLE DEL CAUCA,LA UNIÓN,4.5666667,-76.1500000,15/06/1971,
2353,26115070,CANADA ,CP,MET,CON,ACT,FNC,VALLE DEL CAUCA,ANSERMANUEVO,4.8000000,-75.9500000,15/01/1993,
2354,26115501,MANUEL MARIA MALLARINO,CP,MET,AUT,ACT,CENICAFE,VALLE DEL CAUCA,TRUJILLO,4.2136111,-76.3149720,,
2355,26117020,PTO PEDREROS ,LM,HID,CON,ACT,CVC,VALLE DEL CAUCA,BOLÍVAR,4.3166667,-76.1666670,15/08/1964,
2356,26117050,CAJONES LOS ,LM,HID,CON,SUS,CVC,VALLE DEL CAUCA,EL ÁGUILA,4.9333333,-76.0166670,15/07/1972,15/10/1974
2357,26117130,CATARINA LA ,LM,HID,CON,SUS,CVC,VALLE DEL CAUCA,ANSERMANUEVO,4.8166667,-75.9666670,15/02/1985,15/03/1990
2358,26117140,FLORIDA LA ,LM,HID,CON,ACT,CVC,VALLE DEL CAUCA,BOLÍVAR,4.3500000,-76.2500000,15/07/1989,
2359,26120010,COL SAN JOSE ARMEN ,PM,MET,CON,SUS,MINAG,QUINDÍO,ARMENIA,4.5333333,-75.6833330,15/09/1929,15/12/1936
2360,26120020,MONTENEGRO ,PM,MET,CON,SUS,MINEC,QUINDÍO,MONTENEGRO,4.5666667,-75.7500000,15/02/1934,15/03/1936
2361,26120030,ALCALA ,PM,MET,CON,SUS,MINEC,VALLE DEL CAUCA,ALCALÁ,4.6833333,-75.7833330,15/03/1934,15/04/1938
2362,26120040,VILLA HORIZABA ,PM,MET,CON,ACT,FNC,QUINDÍO,GÉNOVA,4.2000000,-75.7333330,15/01/1982,
2363,26120050,TALLERES CALARCA ,PM,MET,CON,SUS,MOP,QUINDÍO,CALARCÁ,4.5333333,-75.6333330,15/01/1966,15/07/1968
2364,26120060,VIVERO ,PM,MET,CON,ACT,FNC,QUINDÍO,QUIMBAYA,4.6166667,-75.7666670,15/11/1951,
2365,26120070,CAICEDONIA ,PM,MET,CON,SUS,ICEL,VALLE DEL CAUCA,CAICEDONIA,4.3166667,-75.8333330,15/06/1946,15/12/1957
2366,26120080,ROCIO EL ,PM,MET,CON,ACT,FNC,QUINDÍO,QUIMBAYA,4.5666667,-75.7666670,15/04/1980,
2367,26120090,ALTAMIRA ,PG,MET,CON,SUS,FNC,QUINDÍO,FILANDIA,4.6833333,-75.6500000,15/04/1960,15/07/1961
2368,26120100,BREMEN ,PG,MET,CON,ACT,FNC,QUINDÍO,CIRCASIA,4.6666667,-75.6166670,15/11/1969,
2369,26120110,PUEBLO TAPADO ,PM,MET,CON,ACT,FNC,QUINDÍO,MONTENEGRO,4.5666667,-75.7833330,15/09/1975,
2370,26120140,MARACAY ,PM,MET,CON,SUS,FNC,QUINDÍO,QUIMBAYA,4.6000000,-75.7666670,15/11/1961,15/01/1982
2371,26120190,YOLANDA ,PM,MET,CON,ACT,FNC,QUINDÍO,QUIMBAYA,4.6166667,-75.7833330,15/05/1962,
2372,26120200,AMAZONAS ,PM,MET,CON,ACT,FNC,QUINDÍO,FILANDIA,4.6333333,-75.6500000,15/01/1982,
2373,26120210,ILUSION LA ,PM,MET,CON,ACT,FNC,QUINDÍO,CIRCASIA,4.6000000,-75.6500000,15/08/1981,
2374,26120220,AGRADO EL ,PM,MET,CON,ACT,FNC,QUINDÍO,MONTENEGRO,4.4666667,-75.8166670,15/01/1980,
2375,26120230,COL LA SALLE ,PM,MET,CON,SUS,MINAG,QUINDÍO,ARMENIA,4.5166667,-75.6500000,15/01/1929,15/12/1936
2376,26120240,SORRENTO ,PM,MET,CON,ACT,FNC,QUINDÍO,MONTENEGRO,4.5333333,-75.8500000,15/05/1982,
2377,26120250,PIJAO ,PG,MET,CON,ACT,FNC,QUINDÍO,PIJAO,4.3500000,-75.7000000,15/11/1951,
2378,26120260,ARABIA ,PM,MET,CON,ACT,FNC,RISARALDA,PEREIRA,4.8000000,-75.7166670,15/01/1981,
2379,26120270,BAMBA LA ,PM,MET,CON,ACT,FNC,RISARALDA,PEREIRA,4.7666667,-75.7333330,15/01/1981,
2380,26120280,SIBERIA ,PM,MET,CON,ACT,FNC,RISARALDA,PEREIRA,4.7666667,-75.6833330,15/01/1981,
2381,26120290,SAMARIA LA ,PM,MET,CON,ACT,PARTIC,RISARALDA,PEREIRA,4.7166667,-75.6000000,15/10/1981,
2382,26120300,NAVARCO ,PM,MET,CON,ACT,CRQ,QUINDÍO,CALARCÁ,4.4833333,-75.5500000,15/01/1971,
2383,26120310,BREMEN ,PG,MET,CON,SUS,CRQ,QUINDÍO,FILANDIA,4.6833333,-75.5333330,15/01/1977,15/11/1999
2384,26120320,GOBERNACION ,PM,MET,CON,ACT,CRQ,QUINDÍO,ARMENIA,4.5333333,-75.6833330,15/03/1972,
2385,26120330,PICOTA LA ,PM,MET,CON,ACT,CRQ,QUINDÍO,SALENTO,4.6333333,-75.6500000,15/05/1971,
2386,26120340,TEBAIDA LA ,PM,MET,CON,ACT,CRQ,QUINDÍO,LA TEBAIDA,4.4500000,-75.7833330,15/04/1971,
2387,26120350,CORDOBA LA ,PM,MET,CON,ACT,CRQ,QUINDÍO,CÓRDOBA,4.4000000,-75.6833330,15/05/1971,
2388,26120360,ALBANIA LA ,PM,MET,CON,ACT,CRQ,QUINDÍO,CALARCÁ,4.4666667,-75.7166670,15/04/1971,
2389,26120370,PLANADAS ,PM,MET,CON,ACT,CRQ,QUINDÍO,CALARCÁ,4.5000000,-75.6333330,15/04/1971,
2390,26120380,GIBRALTAR ,PG,MET,CON,ACT,CRQ,QUINDÍO,GÉNOVA,4.1833333,-75.7333330,15/01/1972,
2391,26120390,TUNEL EL ,PM,MET,CON,ACT,CRQ,QUINDÍO,CALARCÁ,4.5000000,-75.5833330,15/01/1971,
2392,26120400,BUENOS AIRES ,PM,MET,CON,ACT,CRQ,QUINDÍO,SALENTO,4.5333333,-75.6000000,15/04/1971,
2393,26120410,INDIA LA ,PM,MET,CON,ACT,CRQ,QUINDÍO,FILANDIA,4.6833333,-75.6666670,15/04/1971,
2394,26120420,SAN RAFAEL ,PM,MET,CON,ACT,CRQ,QUINDÍO,CALARCÁ,4.5333333,-75.6500000,15/04/1971,
2395,26120430,BARRAGAN ,PM,MET,CON,ACT,CRQ,QUINDÍO,PIJAO,4.3333333,-75.7833330,15/01/1972,
2396,26120440,ARGENTINA LA ,PM,MET,CON,ACT,FNC,QUINDÍO,LA TEBAIDA,4.4333333,-75.7666670,15/10/1981,
2397,26120450,CRIOLINDA ,PM,MET,CON,ACT,PARTIC,QUINDÍO,SALENTO,4.6833333,-75.5833330,15/10/1981,
2398,26120460,SIERRA LA ,PM,MET,CON,ACT,PARTIC,QUINDÍO,SALENTO,4.7166667,-75.5333330,15/10/1981,
2399,26120470,AMERICA LA ,PM,MET,CON,ACT,PARTIC,QUINDÍO,CALARCÁ,4.5000000,-75.5833330,15/10/1981,
2400,26120480,PIZARRAS ,PM,MET,CON,ACT,PARTIC,QUINDÍO,PIJAO,4.6166667,-75.7833330,15/10/1981,
2401,26120490,FLORIDA LA ,PM,MET,CON,ACT,PARTIC,QUINDÍO,PIJAO,4.4666667,-75.8166670,15/10/1981,
2402,26120500,PRADERA LA ,PM,MET,CON,ACT,FNC,QUINDÍO,ARMENIA,4.4666667,-75.7166670,15/01/1982,
2403,26120510,VILLA DORA ,PM,MET,CON,ACT,CRQ,QUINDÍO,CIRCASIA,4.6166667,-75.6166670,15/04/1971,
2404,26120520,TUCUMAN ,PM,MET,CON,ACT,FNC,QUINDÍO,ARMENIA,4.5333333,-75.7333330,15/08/1981,
2405,26120530,PARAISO EL ,PM,MET,CON,ACT,FNC,QUINDÍO,CALARCÁ,4.5000000,-75.7000000,15/01/1982,
2406,26120540,QUEBRADANEGRA ,PM,MET,CON,ACT,FNC,QUINDÍO,CALARCÁ,4.5166667,-75.6333330,15/01/1982,
2407,26120550,MIRANDA LA ,PM,MET,CON,ACT,FNC,QUINDÍO,LA TEBAIDA,4.4333333,-75.8333330,15/01/1982,
2408,26120560,MONACO ,PM,MET,CON,ACT,FNC,QUINDÍO,CÓRDOBA,4.4000000,-75.6666670,15/01/1982,
