ID_ES,COD_CATALOGO_ES,NOMBRE_ES,CATEGORIA_ES,CLASE_ES,TIPO_ES,ESTADO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,FECHA_INSTALACION,FECHA_SUSPENSION
85,13077130,POLITO EL ,LM,HID,CON,SUS,CÓRDOBA,CIÉNAGA DE ORO,8.9666667,-75.716667,15/09/1985,15/01/1991
86,13077140,PTE SAN CARLOS ,LM,HID,CON,SUS,CÓRDOBA,CIÉNAGA DE ORO,8.9,-75.733333,15/09/1985,15/01/1991
87,13077150,CERETE ,LM,HID,CON,ACT,CÓRDOBA,CERETÉ,8.8850833,-75.797417,15/12/1987,
88,13077160,VENECIA ,LM,HID,CON,SUS,CÓRDOBA,SAN ANDRÉS DE ,9.1833333,-75.516667,15/12/1987,15/01/1991
89,13077170,LORICA ,LM,HID,CON,ACT,CÓRDOBA,LORICA,9.2266722,-75.815008,15/12/1987,
90,13077180,SICARA ,LM,HID,CON,SUS,CÓRDOBA,SAN BERNARDO ,9.35,-75.95,15/12/1987,15/01/1991
91,13077190,SOLEDAD ,LM,HID,CON,SUS,CÓRDOBA,SAN ANTERO,9.35,-75.866667,15/12/1987,15/09/2005
92,13077200,TREMENTINO ,LM,HID,CON,SUS,CÓRDOBA,MONTERÍA,8.7166667,-75.766667,15/01/1987,15/01/1991
93,13077210,ESMERALDA LA ,LM,HID,CON,SUS,CÓRDOBA,SAN ANDRÉS DE ,9.2,-75.566667,15/06/1988,15/01/1991
94,13077220,BAJO GRANDE ,LM,HID,CON,SUS,CÓRDOBA,SAN ANDRÉS DE ,9.15,-75.516667,15/06/1988,15/01/1991
95,13077230,AGUAS MOHOSAS ,LM,HID,CON,SUS,CÓRDOBA,SAN ANDRÉS DE ,9.2511111,-75.491667,15/08/1986,15/01/1991
96,13077240,COCORILLA ,LM,HID,CON,SUS,CÓRDOBA,SAN ANTERO,9.3,-75.783333,15/12/1989,15/01/1991
97,13077250,MARIA LA ,LM,HID,CON,SUS,SUCRE,SINCELEJO,9.2,-75.45,15/12/1989,15/01/1991
98,13077260,CUESTA ABAJO ,LM,HID,CON,SUS,CÓRDOBA,SAN ANDRÉS DE ,9.15,-75.516667,15/12/1989,15/01/1991
99,13077270,CRUZ CHIQUITA ,LM,HID,CON,SUS,CÓRDOBA,SAN ANDRÉS DE ,9.2166667,-75.5,15/12/1989,15/01/1991
100,13077280,GARZONES LOS ,LM,HID,CON,SUS,CÓRDOBA,MONTERÍA,8.8266389,-75.841972,15/11/1990,18/06/2014
101,13077300,EL MONTON   ,LM,HID,CON,ACT,CÓRDOBA,MONTERÍA,8.8683333,-75.835556,15/06/1990,
102,13087010,JUNIN ,LM,HID,CON,SUS,CÓRDOBA,SAN BERNARDO ,9.2333333,-76.033333,15/12/1987,15/09/1990
103,13097010,TOLUVIEJO    ,LM,HID,CON,ACT,SUCRE,TOLUVIEJO,9.4383889,-75.440278,15/08/1969,
104,13097020,PARAISO EL ,LM,HID,CON,SUS,SUCRE,COLOSÓ,9.5,-75.4,15/07/1986,15/01/1991
105,13097030,CARACOL ,LM,HID,CON,SUS,SUCRE,TOLUVIEJO,9.4,-75.4,15/12/1989,15/01/1991
106,13097040,CERRO BOMBA ,LM,HID,CON,SUS,CÓRDOBA,SAN ANDRÉS DE ,9.2666667,-75.5,15/12/1989,15/01/1991
107,13097050,PASTORA LA ,LM,HID,CON,SUS,SUCRE,SINCELEJO,9.2666667,-75.483333,15/12/1989,15/04/1991
108,13097060,NUMEROS LOS ,LM,HID,CON,SUS,SUCRE,OVEJAS,9.6333333,-75.216667,15/03/1990,15/01/1991
109,13097070,PELONA LA ,LM,HID,CON,SUS,SUCRE,SAN ONOFRE,9.75,-75.583333,15/03/1990,15/01/1991
110,14017701,MAHATES AUTOM ,LG,HID,AUT,ACT,BOLÍVAR,MAHATES,10.2397861,-75.203808,1/4/2014,
