ID_ES,COD_CATALOGO_ES,NOMBRE_ES,CATEGORIA_ES,CLASE_ES,TIPO_ES,ESTADO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,FECHA_INSTALACION,FECHA_SUSPENSION
2278,24035020,BETEITIVA ,CO,MET,CON,ACT,BOYACÁ,BETÉITIVA,5.9072778,-72.810611,15/12/1981,
2279,24035040,COPA LA   ,CO,MET,CON,ACT,BOYACÁ,TOCA,5.5791944,-73.208778,15/12/1991,
2280,24035070,GUICAN ,CO,MET,CON,ACT,BOYACÁ,GUICÁN,6.4634722,-72.409194,15/08/1991,
2281,24035090,HIMAT R 4 ,CP,MET,CON,SUS,BOYACÁ,DUITAMA,5.7833333,-73.05,15/07/1994,15/08/1996
2282,24035120,SURBATA BONZA ,AM,MET,CON,ACT,BOYACÁ,DUITAMA,5.8024444,-73.074472,15/03/1944,
2283,24035130,U P T C ,CP,MET,CON,ACT,BOYACÁ,TUNJA,5.5430775,-73.360813,15/02/1962,
2284,24035140,VENECIA HDA ,ME,MET,CON,SUS,BOYACÁ,SOGAMOSO,5.6833333,-72.966667,15/03/1968,15/02/2002
2285,24035150,BELENCITO    ,CP,MET,CON,ACT,BOYACÁ,NOBSA,5.7815833,-72.894306,15/02/1967,
2286,24035170,TUNGUAVITA ,AM,MET,CON,ACT,BOYACÁ,PAIPA,5.7459167,-73.116361,15/01/1968,
2287,24035180,SAN RAFAEL ,CO,MET,CON,SUS,BOYACÁ,TIBASOSA,5.7833333,-72.983333,15/05/1969,15/08/2003
2288,24035200,SENA ,ME,MET,CON,SUS,BOYACÁ,SOGAMOSO,5.7666667,-72.916667,15/10/1967,15/03/1981
2289,24035210,SAN LORENZO ,ME,MET,CON,SUS,BOYACÁ,DUITAMA,5.7833333,-73.083333,15/10/1967,15/09/1977
2290,24035240,SIERRA NEVAD COCUY  ,CO,MET,CON,ACT,BOYACÁ,GUICÁN,6.4100833,-72.375194,15/05/1974,
2291,24035250,CHITA ,CO,MET,CON,ACT,BOYACÁ,CHITA,6.1883333,-72.466333,15/12/1970,
2292,24035260,CAPITANEJO    ,CO,MET,CON,ACT,SANTANDER,CAPITANEJO,6.5207222,-72.696611,15/06/1974,
2293,24035280,CHAPA LA ,CO,MET,CON,SUS,BOYACÁ,SOCHA,5.9666667,-72.733333,15/06/1974,15/12/1994
2294,24035300,SAN CRISTOBAL ,ME,MET,CON,SUS,BOYACÁ,TOCA,5.5969167,-73.187722,15/07/1971,28/08/2014
2295,24035310,CHISCAS ,CO,MET,CON,ACT,BOYACÁ,CHISCAS,6.5495278,-72.504722,15/06/1974,
2296,24035320,SATIVANORTE    ,CO,MET,CON,ACT,BOYACÁ,SATIVANORTE,6.1168611,-72.704833,15/06/1974,
2297,24035330,BOAVITA    ,AM,MET,CON,ACT,BOYACÁ,BOAVITA,6.3289722,-72.582278,15/08/1978,
2298,24035340,APTO A LLERAS C ,CP,MET,CON,ACT,BOYACÁ,SOGAMOSO,5.6769444,-72.967917,15/01/1974,
