ID_ES,COD_CATALOGO_ES,NOMBRE_ES,CATEGORIA_ES,CLASE_ES,TIPO_ES,ESTADO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,FECHA_INSTALACION,FECHA_SUSPENSION
2676,35080140,CACHIPAY ,PG,MET,CON,SUS,BOYACÁ,SANTA MARÍA,4.8833333,-73.25,15/02/1968,15/02/2002
2677,35085010,MIRAFLORES ,CO,MET,CON,SUS,BOYACÁ,MIRAFLORES,5.2,-73.15,15/12/1975,15/02/1979
2678,35085020,RONDON ,CO,MET,CON,ACT,BOYACÁ,RONDÓN,5.3584167,-73.203611,15/12/1970,
2679,35085030,PAEZ ,CO,MET,CON,SUS,BOYACÁ,PÁEZ,5.1,-73.05,15/02/1972,15/12/1975
2680,35085040,VIVERO EL ,CO,MET,CON,ACT,BOYACÁ,MIRAFLORES,5.1925556,-73.144778,15/06/1984,
2681,35085050,CAMPOHERMOSO ,CO,MET,CON,ACT,BOYACÁ,CAMPOHERMOSO,5.0345,-73.103667,15/11/1986,
2682,35085060,ZETAQUIRA AUTOMATICA ,CP,MET,AUT,ACT,BOYACÁ,ZETAQUIRÁ,5.2949444,-73.169944,12/12/2004,
2683,35085070,STA MARIA AUTOM ,CP,MET,AUT,ACT,BOYACÁ,SANTA MARÍA,4.84125,-73.256694,10/3/2005,
2684,35085080,LA CAPILLA AUTOM ,CP,MET,AUT,ACT,BOYACÁ,LA CAPILLA,5.0991944,-73.436,8/3/2005,
2685,35090010,POTRERITO ,PG,MET,CON,ACT,BOYACÁ,AQUITANIA,5.4775833,-72.948611,15/10/1964,
2686,35090030,AQUITANIA ,PM,MET,CON,SUS,BOYACÁ,AQUITANIA,5.5166667,-72.883333,15/11/1957,15/11/1972
2687,35090040,REVENTONERA ,PM,MET,CON,ACT,CASANARE,SABANALARGA,4.9049444,-73.047611,15/04/1981,
2688,35090050,VISTA HERMOSA   ,PM,MET,CON,ACT,BOYACÁ,CAMPOHERMOSO,5.0035,-73.049722,15/03/1981,
2689,35090060,CAZADERO ,PM,MET,CON,ACT,BOYACÁ,AQUITANIA,5.2833333,-72.983333,15/04/1981,
2690,35090070,GUAMO DE SISBACA ,PM,MET,CON,ACT,BOYACÁ,AQUITANIA,5.3666667,-72.916667,15/06/1981,
2691,35090110,DON ANTONIO ,PM,MET,CON,ACT,CASANARE,SABANALARGA,4.7477778,-72.997222,15/06/1993,
2692,35095010,AQUITANIA ,CO,MET,CON,SUS,BOYACÁ,AQUITANIA,5.5333333,-72.883333,15/12/1970,15/09/1976
2693,35095020,DON ANTONIO CAMELI ,CP,MET,CON,SUS,CASANARE,SABANALARGA,4.6833333,-73.033333,15/10/1968,15/05/1993
2694,35095030,TUNEL EL   ,CO,MET,CON,ACT,BOYACÁ,CUÍTIVA,5.5749139,-72.947694,15/02/1971,
2695,35095110,HUERTA LA GRANDE ,CP,MET,CON,ACT,CASANARE,VILLANUEVA,4.6550833,-72.917333,15/09/1994,
2696,35095120,AQUITANIA AUTOMATICA ,CP,MET,AUT,ACT,BOYACÁ,AQUITANIA,5.5566389,-72.88175,6/12/2004,
2697,35095130,LAGUNA LA PLAZA ,CP,MET,AUT,ACT,ARAUCA,SARAVENA,6.362,-72.282017,17/09/2010,
2698,35100020,CABUYARO ,PM,MET,CON,ACT,META,CABUYARO,4.2837222,-72.792833,15/06/1968,
2699,35105010,GUADUALITO ,ME,MET,CON,SUS,META,CABUYARO,4.4333333,-72.966667,15/10/1968,15/04/1976
2700,35105020,BARRANCA DE UPIA ,CO,MET,CON,SUS,META,BARRANCA DE UPÍA,4.5666667,-72.966667,15/06/1976,15/12/1990
2701,35105030,CABUYARO ,ME,MET,CON,SUS,META,CABUYARO,4.2837222,-72.792833,15/01/1969,15/07/1971
2702,35105040,PETRIBA ,CO,MET,CON,SUS,META,BARRANCA DE UPÍA,4.3833333,-72.9,15/12/1990,15/10/1993
2703,35105050,GUAICARAMO ,CO,MET,CON,ACT,META,BARRANCA DE UPÍA,4.4686667,-72.953583,15/10/1993,
2704,35120010,PTO GAITAN ,PM,MET,CON,ACT,META,PUERTO GAITÁN,4.3113889,-72.076639,15/01/1963,
2705,35125010,MARGARITAS LAS HDA ,CO,MET,CON,ACT,META,PUERTO LÓPEZ,4.3405556,-72.156361,15/05/1976,
2706,35125020,VUELTA LARGA ,CP,MET,CON,SUS,META,PUERTO LÓPEZ,3.8666667,-72.2,15/03/1987,15/08/1989
2707,35130010,PLATA LA ,PM,MET,CON,ACT,META,PUERTO LÓPEZ,3.9560833,-72.765722,15/04/1975,
2708,35135010,CEJALITO ,CP,MET,CON,SUS,META,SAN MARTÍN,3.7166667,-72.35,15/05/1976,15/12/1984
2709,35165501,EL TUNEL ,CO,MET,AUT,ACT,BOYACÁ,CUÍTIVA,5.5749722,-72.941,31/12/2016,
2710,35165502,LAS CINTAS ,PM,MET,AUT,ACT,BOYACÁ,SOGAMOSO,5.6142778,-72.867472,31/12/2016,
2711,35165503,LAS CINTAS ,PM,MET,AUT,ACT,BOYACÁ,AQUITANIA,5.4775833,-72.948611,31/12/2016,
2712,35165504,LLANO ALARCON ,PM,MET,AUT,ACT,BOYACÁ,CUÍTIVA,5.5997222,-72.913472,31/12/2016,
2713,35170010,SAN JOSE ,PM,MET,CON,SUS,META,PUERTO GAITÁN,4.85,-71.166667,15/12/1983,15/01/1990
2714,35180010,PRADERA LA ,PM,MET,CON,ACT,CASANARE,TAURAMENA,4.9373611,-72.665889,15/11/1974,
2715,35180020,PICA LA ,PM,MET,CON,SUS,CASANARE,TAURAMENA,4.3,-72.6,15/07/1980,15/01/1990
2716,35180030,FUNDO NUEVO HUMAPO ,PM,MET,CON,ACT,META,PUERTO LÓPEZ,4.3277222,-72.391444,15/06/1983,
2717,35180040,POYATA LA ,PM,MET,CON,ACT,CASANARE,MANÍ,4.4418333,-72.152389,15/06/1983,
2718,35180050,PTO TEXAS ,PM,MET,CON,ACT,CASANARE,MANÍ,4.4182778,-71.960806,15/06/1983,
2719,35185010,LA PALOMERA AUTOMATICA ,AM,MET,AUT,ACT,META,PUERTO LÓPEZ,4.2603611,-72.564472,18/05/2005,
2720,35190010,CINTAS LAS   ,PG,MET,CON,ACT,BOYACÁ,SOGAMOSO,5.6141389,-72.867667,15/02/1971,
2721,35190020,TOQUILLA    ,PM,MET,CON,ACT,BOYACÁ,AQUITANIA,5.5236111,-72.790972,15/04/1971,
2722,35190030,CHAMEZA ,PG,MET,CON,ACT,CASANARE,CHÁMEZA,5.2043889,-72.902889,15/11/1974,
2723,35190040,TAMARINDO ,PM,MET,CON,ACT,CASANARE,AGUAZUL,5.0095278,-72.544056,15/11/1974,
2724,35190050,PAJARITO    ,PM,MET,CON,ACT,BOYACÁ,PAJARITO,5.3029444,-72.701944,15/11/1957,
2725,35190070,SAN JOSE   ,PM,MET,CON,ACT,CASANARE,AGUAZUL,5.0919167,-72.458583,15/11/1974,
2726,35190080,TAURAMENA ,PM,MET,CON,SUS,CASANARE,TAURAMENA,5.0272578,-72.869841,15/10/1960,15/11/1974
2727,35190120,PAJARITO AUTOMATICA ,PG,MET,AUT,SUS,BOYACÁ,PAJARITO,5.2834722,-72.701944,15/05/1999,30/09/2010
2728,35195010,SURAL EL ,CO,MET,CON,SUS,CASANARE,AGUAZUL,5.15,-72.5,15/11/1974,15/10/1978
2729,35195020,TAURAMENA    ,CO,MET,CON,ACT,CASANARE,TAURAMENA,5.0272578,-72.869841,15/11/1974,
2730,35195030,AGUAZUL    ,CO,MET,CON,ACT,CASANARE,AGUAZUL,5.1770833,-72.547389,15/01/1974,
